,img,drone_imu_rpy,drone_gyro_wxwywz,drone_gps_xyz,drone_camera_gps_xyz,drone_camera_imu_rpy,TR,TL,BR,BL,GATE-CENTER
10,img_111.png,"[-0.21475476686045641, 0.1992092157602398, 0.6225093792328341]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -2.272727272727273, 0.8]","[-2.51424279252993, -2.2527222476981965, 0.8036402361305576]","[-0.21475476686045641, 0.1992092157602398, 0.6225093792328341]","[160.40191892660349, 103.58688194645528]","[147.07795452334233, 98.48090050256828]","[156.25153608072236, 123.74842448313338]","[142.84139618240212, 120.84265959106997]","[151.94779585415512, 111.89429354146013]"
11,img_113.png,"[0.22810947040957646, 0.09077213166222912, 1.1575734577775432]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -2.272727272727273, 1.6]","[-2.524038639180302, -2.2454648508577177, 1.6069814275137475]","[0.22810947040957646, 0.09077213166222912, 1.1575734577775432]","[245.19077068739566, 145.84463121918415]","[229.75541184161105, 150.64619042601643]","[249.0022732408059, 166.6671055911184]","[233.95606297922362, 172.51917816714354]","[239.6867099233794, 158.91291540354172]"
12,img_115.png,"[0.17350527016346634, 0.07481790313875489, 0.8937418719536259]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -1.8181818181818183, 0.0]","[-2.5179122925911406, -1.7953722971111736, 0.007579857695614241]","[0.17350527016346634, 0.07481790313875489, 0.8937418719536259]","[202.4796929689922, 69.52531810352127]","[187.61506486032496, 65.77874123878148]","[205.92180212476893, 92.53387927875717]","[191.53236730997622, 90.92240924908592]","[197.21689087466754, 79.81172823173475]"
13,img_121.png,"[-0.11942963551005628, -0.16561631512017452, 1.1303364246336922]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -1.3636363636363638, 0.0]","[-2.5276215135411477, -1.3378436510130687, 0.014738718915069565]","[-0.11942963551005628, -0.16561631512017452, 1.1303364246336922]","[294.22046202870683, 121.70254291512833]","[278.1821102245677, 113.84748115738682]","[294.6292534182437, 147.9183984470181]","[278.1528162701038, 141.78743523891293]","[286.5827797033419, 131.2498071564204]"
14,img_122.png,"[0.03649664699273128, 0.05897742511456029, 0.9915348600573891]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -1.3636363636363638, 0.4]","[-2.521440105526957, -1.338280792261599, 0.40820766843340806]","[0.03649664699273128, 0.05897742511456029, 0.9915348600573891]","[261.96033524669, 92.10547027918584]","[247.24505717129045, 87.58533433401549]","[261.9717719701078, 119.21139648080667]","[247.4070062138825, 117.28909783482807]","[254.97694388930944, 104.18979528192561]"
15,img_125.png,"[0.02158707638043262, -0.17163205167771037, 1.1273511132558651]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -1.3636363636363638, 1.6]","[-2.5263166739964467, -1.3385711147485702, 1.614974497164096]","[0.02158707638043262, -0.17163205167771037, 1.1273511132558651]","[304.77330941293326, 216.95673777599092]","[287.1172820511097, 219.95494842309805]","[310.0473903149574, 249.54399595734233]","[292.2334869737162, 255.41264911533546]","[298.8561748188424, 235.102836022723]"
16,img_151.png,"[0.039856718766141684, 0.241429986696446, 0.7865094900039954]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -4.545454545454546, 0.0]","[-2.054378544078057, -4.523423985350286, 0.002529517798399974]","[0.039856718766141684, 0.241429986696446, 0.7865094900039954]","[94.65551677218613, 72.00990023301318]","[78.67124445422017, 69.40376921620232]","[96.63348746843427, 88.65730146515826]","[81.14760582459061, 87.21002626650042]","[88.04370743566476, 79.45001110110721]"
17,img_153.png,"[-0.19349398894593237, -0.12305045187721689, 0.8065696584411616]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -4.545454545454546, 0.8]","[-2.058542327368558, -4.523499719320051, 0.8134213879765901]","[-0.19349398894593237, -0.12305045187721689, 0.8065696584411616]","[107.15471595146195, 156.1577019628594]","[93.703407180203, 152.67691970534864]","[103.91236827819475, 169.94331003490123]","[90.11482042913184, 167.26970931610504]","[98.93193575788737, 161.5199184760367]"
18,img_167.png,"[-0.20625961455083408, -0.15810323646084373, 1.2735297825679632]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -3.6363636363636367, 1.6]","[-2.07065501498302, -3.608910788287661, 1.6143893200684754]","[-0.20625961455083408, -0.15810323646084373, 1.2735297825679632]","[196.95945813708147, 212.69633611865441]","[181.81745682416462, 210.0797409823975]","[194.06684518050696, 230.3285300384127]","[178.5834153300873, 228.20893014970326]","[187.98395122927408, 220.27323487130852]"
19,img_168.png,"[-0.11932375857622535, -0.15617403138520256, 1.5798621215098627]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -3.6363636363636367, 2.0]","[-2.078368095678336, -3.608285034090748, 2.0144742535281748]","[-0.11932375857622535, -0.15617403138520256, 1.5798621215098627]","[265.7791427644179, 240.114399533808]","[245.80084482676594, 237.67496119860718]","[265.3897153351559, 261.65224252846565]","[245.03621897631854, 259.1436244979385]","[255.4987593424341, 249.54545965166972]"
20,img_169.png,"[0.038001305481938766, 0.14008856619525362, 1.2445276410136363]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -3.1818181818181817, 0.0]","[-2.0665948606553632, -3.1524793008796363, 0.005705963021366546]","[0.038001305481938766, 0.14008856619525362, 1.2445276410136363]","[211.95056656544446, 74.42280065206408]","[194.86212568699855, 72.83577316333809]","[211.83112563581176, 94.73192446915463]","[195.01963087799612, 93.9312273530272]","[203.5729088600951, 84.0758375787685]"
21,img_171.png,"[0.06824242561688024, 0.05009525114220015, 1.5361517805098834]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -3.1818181818181817, 0.8]","[-2.0751864623283045, -3.151398137752206, 0.8084619790104521]","[0.06824242561688024, 0.05009525114220015, 1.5361517805098834]","[272.50783734011486, 121.76799321022929]","[251.60120582300274, 123.10440989827977]","[273.23844857147094, 143.16987941824897]","[252.46749301315688, 144.5915188050418]","[262.4778412214084, 133.19094596854427]"
22,img_172.png,"[0.1568261152527046, -0.23119253383193517, 0.6700823680304023]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -3.1818181818181817, 1.2000000000000002]","[-2.0548394537722143, -3.166312105256071, 1.216488637850977]","[0.1568261152527046, -0.23119253383193517, 0.6700823680304023]","[117.12014032684858, 206.6083287420029]","[100.11273505377157, 209.37199387705365]","[118.9483265323883, 226.33220415550028]","[101.62848079377643, 231.0538160793468]","[109.82606756131399, 218.11821184788758]"
23,img_174.png,"[-0.12421980867209757, -0.0023616008754474894, 0.699496223516521]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -3.1818181818181817, 2.0]","[-2.0547837849276798, -3.161570308393554, 2.0099937666434045]","[-0.12421980867209757, -0.0023616008754474894, 0.699496223516521]","[112.6962520251784, 190.5504626251118]","[95.96141713488595, 191.765346986701]","[110.44172083317171, 208.52052048470028]","[93.50047976903564, 211.34408349264638]","[103.5106939731926, 200.5006241605341]"
24,img_176.png,"[0.06914670516477868, -0.14255527442819677, 1.1834053044892812]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -2.7272727272727275, 0.4]","[-2.065600531557281, -2.7013508735678626, 0.41413709542102267]","[0.06914670516477868, -0.14255527442819677, 1.1834053044892812]","[212.3470769912566, 139.96855562279904]","[195.50193042179836, 139.30687865874737]","[214.6412159880828, 159.63143132389828]","[197.60308896425659, 159.88211120871813]","[205.20664062935904, 149.61258826149594]"
25,img_185.png,"[0.19165220455696794, 0.23850206516573202, 0.6892582210903683]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -2.272727272727273, 1.6]","[-2.0514257137706826, -2.2541834292944385, 1.6024516000924807]","[0.19165220455696794, 0.23850206516573202, 0.6892582210903683]","[141.25592829205763, 143.30049482481525]","[125.41148124427512, 148.75871699404524]","[145.62621393152318, 163.61448591793862]","[130.73691443217845, 170.9697630517771]","[136.17398652519148, 156.6680631425568]"
26,img_186.png,"[-0.2595809177462316, 0.03863701627772926, 1.0204889378771282]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -2.272727272727273, 2.0]","[-2.0632388828401345, -2.2455149440292144, 2.0084989410592837]","[-0.2595809177462316, 0.03863701627772926, 1.0204889378771282]","[190.5854667558774, 206.41400315490935]","[173.43447973803916, 205.18693080261548]","[184.84688596525837, 227.1930320948237]","[167.37257787833084, 227.47523050241736]","[179.35508721799658, 216.6034115408336]"
27,img_190.png,"[0.1740420743648585, 0.2582102241713066, 0.8020481996840617]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -1.8181818181818183, 1.2000000000000002]","[-2.0537642950442785, -1.7967294494331234, 1.2018619068076235]","[0.1740420743648585, 0.2582102241713066, 0.8020481996840617]","[175.98568954317406, 110.92176360193983]","[159.28004393359674, 113.8721651158907]","[179.3607940748195, 135.33732912326158]","[163.67513287163226, 140.73189397159916]","[170.0243489646516, 125.35720925651852]"
28,img_192.png,"[-0.034656565728940124, 0.09137983009380345, 1.3197766979496028]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -1.8181818181818183, 2.0]","[-2.0696115233904626, -1.7882738084162804, 2.007214716682186]","[-0.034656565728940124, 0.09137983009380345, 1.3197766979496028]","[286.25782216284745, 207.10605569067224]","[262.4198288607057, 208.92443191987041]","[283.2888492060853, 234.9403957401533]","[259.7070835424701, 237.95359204662904]","[273.16418645721956, 222.3186815579319]"
29,img_194.png,"[-0.13515762786916907, 0.11014733423478518, 1.0794242652594725]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -1.3636363636363638, 0.4]","[-2.0635278832025796, -1.3357499324178432, 0.40655101053922776]","[-0.13515762786916907, 0.11014733423478518, 1.0794242652594725]","[280.5952527567142, 92.06738120867196]","[261.47754683344397, 83.12965671890046]","[273.891901780586, 124.40457850455822]","[254.56122470271333, 118.76661441675367]","[268.0388752059739, 104.9445934475103]"
30,img_196.png,"[0.018232735751889793, 0.2601841860615664, 1.1459168181793515]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -1.3636363636363638, 1.2000000000000002]","[-2.063746586205892, -1.3349553471109592, 1.2019440636433547]","[0.018232735751889793, 0.2601841860615664, 1.1459168181793515]","[285.2511405795746, 111.971438676303]","[263.27448119940703, 112.38636019235832]","[279.7263134578185, 144.7364554912372]","[258.4482381652815, 147.7703092495078]","[272.0382527535677, 129.61902429519583]"
31,img_203.png,"[0.14958849438509852, -0.027696197114707798, 0.605564253230316]","[0.0, 0.0, 0.0]","[-2.0769230769230766, -0.9090909090909092, 1.6]","[-2.0516439217083122, -0.8934018557463513, 1.6107153122576743]","[0.14958849438509852, -0.027696197114707798, 0.605564253230316]","[206.43923355298966, 186.78310018339602]","[195.08717158938924, 193.48372512611257]","[211.02007714772444, 215.7999736099578]","[200.36534245671908, 227.35768752894285]","[203.6423873639503, 205.46649558246978]"
32,img_216.png,"[-0.1413235150474557, -0.1439801258380963, 2.329999009639542]","[0.0, 0.0, 0.0]","[-2.0769230769230766, 0.0, 2.0]","[-2.097403622585849, 0.019536394724815675, 2.014102359040646]","[-0.1413235150474557, -0.1439801258380963, 2.329999009639542]","[10.818437725211338, 81.71282365440989]","[16.981830470509728, 67.4841266326502]","[20.82634954921623, 47.25929561780537]","[28.554550381747205, 27.37904824821633]","[19.09929771380693, 56.344784951269624]"
33,img_217.png,"[0.024253037649782122, 0.20147669899545093, 1.7255489094716219]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -5.0, 0.0]","[-1.6199839010144608, -4.968944046507269, 0.003791348619213382]","[0.024253037649782122, 0.20147669899545093, 1.7255489094716219]","[258.43416851152557, 73.66383860912528]","[241.564876973554, 74.75279185287654]","[256.96526265162476, 90.50644057052183]","[240.42391938165014, 91.34367054913025]","[249.28258161437458, 82.64753105401317]"
34,img_219.png,"[-0.21205995692676102, 0.13554064855106995, 0.6683056119717882]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -5.0, 0.8]","[-1.5923217970038694, -4.979110271349444, 0.8056325522849639]","[-0.21205995692676102, 0.13554064855106995, 0.6683056119717882]","[62.969940962148684, 99.08486135662957]","[45.160453235950264, 94.04489543485867]","[60.962649717205096, 114.59396367385627]","[43.23545216983155, 110.79413767606742]","[53.4018752882076, 104.76198570258624]"
35,img_223.png,"[-0.10412035275794893, 0.15502624430269552, 1.5742535289052177]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -4.545454545454546, 0.0]","[-1.6165317136817148, -4.514282402311916, 0.00519438710457366]","[-0.10412035275794893, 0.15502624430269552, 1.5742535289052177]","[239.55675865279076, 92.34580531184233]","[223.6419686214281, 90.6984606877305]","[236.7773802665363, 108.78495479363977]","[221.09296547036402, 107.15612064448803]","[230.25632311139714, 99.80594101768878]"
36,img_226.png,"[0.20416170600015804, -0.220372966491105, 1.3313887397312578]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -4.545454545454546, 1.2000000000000002]","[-1.6069807833715344, -4.519575266628679, 1.2161133030427955]","[0.20416170600015804, -0.220372966491105, 1.3313887397312578]","[191.4674770117103, 191.45933329305774]","[177.89880740472063, 194.28108634512728]","[195.0128121324272, 206.20047868416313]","[181.2522098068904, 209.38252547796105]","[186.4606117584759, 200.24412788933205]"
37,img_227.png,"[0.17341180802586875, -0.04838753397185845, 1.6202855059241614]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -4.545454545454546, 1.6]","[-1.6151200518410338, -4.515916839155347, 1.6112895488268426]","[0.17341180802586875, -0.04838753397185845, 1.6202855059241614]","[240.89120753397708, 169.1634762542331]","[225.32800870397702, 171.81626759910154]","[243.94403921445027, 184.54597463246358]","[228.29767413588192, 187.14062106131155]","[234.59413898305164, 178.15248101250785]"
38,img_228.png,"[0.17981822508761197, 0.04376548275647569, 0.7991325899637598]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -4.545454545454546, 2.0]","[-1.5929026987435952, -4.524911234720291, 2.0085167956545895]","[0.17981822508761197, 0.04376548275647569, 0.7991325899637598]","[95.28640651801896, 193.97368567637642]","[79.86001250918673, 198.8229548324485]","[98.20801992648369, 208.54876320326431]","[83.03806574388312, 214.33868550317987]","[89.34573231125853, 203.85109272759217]"
39,img_229.png,"[-0.1047063472522227, -0.19208122165576055, 0.6218673497113172]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -4.090909090909091, 0.0]","[-1.593601292072554, -4.0740104114889935, 0.015489398288474246]","[-0.1047063472522227, -0.19208122165576055, 0.6218673497113172]","[66.65355152571614, 130.58211214029453]","[48.11846379482001, 124.10173332310573]","[63.054582718926056, 146.9837513701978]","[43.79984440329941, 141.83368089352848]","[55.82759194773415, 135.91205942515376]"
40,img_230.png,"[0.2198420928977273, 0.17493978666720325, 1.4117059291653744]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -4.090909090909091, 0.4]","[-1.6082822412448161, -4.060408371878839, 0.404388897380425]","[0.2198420928977273, 0.17493978666720325, 1.4117059291653744]","[191.96290399163533, 86.57413385086441]","[176.25523079046732, 89.54284144929035]","[194.9265261320216, 103.56021746518493]","[179.53451746441732, 106.73959952175109]","[185.74316820011927, 96.66586127034145]"
41,img_231.png,"[-0.11762853388350936, 0.09782487560444535, 1.8164398004513578]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -4.090909090909091, 0.8]","[-1.624019367356592, -4.061293352066793, 0.8069533496393619]","[-0.11762853388350936, 0.09782487560444535, 1.8164398004513578]","[298.7162887908746, 139.08425022349147]","[276.2751065564855, 136.98064941947777]","[294.8301426648754, 158.7355812658775]","[272.7440671879885, 156.11609526445807]","[285.47522244565954, 147.76736660977696]"
42,img_232.png,"[0.10729213732223962, -0.0412834907283071, 0.6860345000342716]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -4.090909090909091, 1.2000000000000002]","[-1.5918306152549813, -4.073009607649764, 1.211172178701681]","[0.10729213732223962, -0.0412834907283071, 0.6860345000342716]","[75.45812129795266, 175.48512630683925]","[56.53355473204442, 177.56459516010892]","[76.9491518074916, 192.66927950065812]","[58.06582079470749, 196.23220322184085]","[67.1378468182841, 185.41028831047103]"
43,img_233.png,"[-0.14491045769802025, -0.2578646157619162, 1.6871446427866383]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -4.090909090909091, 1.6]","[-1.619893389675307, -4.064771114606976, 1.617218511817973]","[-0.14491045769802025, -0.2578646157619162, 1.6871446427866383]","[256.6164157080263, 238.92243568122296]","[236.85180729347996, 235.7787464557236]","[256.77343675593687, 260.0316618725797]","[236.42879120190545, 256.52430788740963]","[246.60456317351122, 247.6519115090998]"
44,img_234.png,"[-0.2352919446303695, -0.00014165451667409127, 1.086271563475856]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -4.090909090909091, 2.0]","[-1.603474552378574, -4.06327754105854, 2.0097287127642183]","[-0.2352919446303695, -0.00014165451667409127, 1.086271563475856]","[141.5366192576717, 186.80893372739595]","[126.9615307755588, 184.73139978796056]","[137.95593120657136, 201.74453955068157]","[123.22198881252974, 200.32876264892428]","[132.57784232869793, 193.42228849453554]"
45,img_238.png,"[0.12438697497796135, 0.21109077541977725, 0.927697598997116]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -3.6363636363636367, 1.2000000000000002]","[-1.5955539980653304, -3.611969520802642, 1.2034166859283408]","[0.12438697497796135, 0.21109077541977725, 0.927697598997116]","[124.08131238365313, 127.11009454396847]","[107.25146545081822, 129.22442628495722]","[126.91173286138772, 144.46450117828766]","[110.64405063545497, 147.63390601856977]","[117.49716278885938, 137.16659788195344]"
46,img_239.png,"[-0.22009388540841263, -0.2077710362194243, 1.6152604395697787]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -3.6363636363636367, 1.6]","[-1.6187809966096414, -3.609145941632258, 1.6157372706681874]","[-0.22009388540841263, -0.2077710362194243, 1.6152604395697787]","[244.5788419994671, 236.71682938694133]","[224.35673521469835, 232.07712472450544]","[242.30576839933013, 258.6279882404097]","[221.58229945323583, 253.75313892643146]","[233.19464160494587, 245.15047959849088]"
47,img_240.png,"[-0.11132302952115226, 0.07789981767889365, 1.5737316282404405]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -3.6363636363636367, 2.0]","[-1.6165856049790532, -3.605684615754696, 2.0075733294177818]","[-0.11132302952115226, 0.07789981767889365, 1.5737316282404405]","[241.2312477553807, 193.09751542173262]","[222.6057178602006, 191.00306528020485]","[238.47103678236064, 211.1954897761783]","[220.00590855987699, 209.11314848018895]","[230.57121410400987, 201.1410718148784]"
48,img_241.png,"[0.10055845616499394, 0.1560928448484253, 1.3858261757645198]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -3.1818181818181817, 0.0]","[-1.6086629413980416, -3.1513527145023494, 0.0051647265219162]","[0.10055845616499394, 0.1560928448484253, 1.3858261757645198]","[214.06031662511268, 61.79354098891899]","[194.01802070367623, 62.283307179508185]","[215.07518779415798, 84.28129670009089]","[195.4527922305957, 85.28121334382605]","[204.77204884652272, 73.51782087487463]"
49,img_242.png,"[-0.21801356858551207, -0.0398724104277208, 1.2080868547191617]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -3.1818181818181817, 0.4]","[-1.6069090845379688, -3.1533887511703735, 0.41095138575290807]","[-0.21801356858551207, -0.0398724104277208, 1.2080868547191617]","[192.72362191606692, 135.1741218261079]","[176.22725460484745, 129.94055907202446]","[188.7751970194308, 153.5730408531682]","[172.03773789869916, 149.07940467443427]","[182.61428410005863, 141.96973309059243]"
50,img_243.png,"[0.012510659957262823, 0.15400945019730922, 1.151024314210506]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -3.1818181818181817, 0.8]","[-1.6025633775012065, -3.153397241362805, 0.805278825889245]","[0.012510659957262823, 0.15400945019730922, 1.151024314210506]","[176.9760766699435, 113.16514842192242]","[159.23378636493516, 112.43980719523935]","[176.89973034169006, 132.85537954167356]","[159.47721145221888, 133.08557980563165]","[168.3543666889874, 122.97996820247975]"
51,img_244.png,"[0.2341707126067412, 0.006282525385698504, 0.7084469009676466]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -3.1818181818181817, 1.2000000000000002]","[-1.5910477029205674, -3.1640211727742775, 1.2095384045211173]","[0.2341707126067412, 0.006282525385698504, 0.7084469009676466]","[100.77690071752214, 172.28821313966102]","[81.21665874526886, 177.00236422186472]","[105.43793033611038, 191.6366067071537]","[86.35253956388152, 198.25193016982237]","[93.90044242917436, 184.66577679656604]"
52,img_246.png,"[-0.26075964079832337, -0.12803250958793005, 0.8332359361462861]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -3.1818181818181817, 2.0]","[-1.5981129495130213, -3.158975862330361, 2.013413351499023]","[-0.26075964079832337, -0.12803250958793005, 0.8332359361462861]","[106.19682181321174, 209.74720641915187]","[86.6451118498208, 208.16405905309486]","[100.20197478911815, 229.95460945402618]","[79.80118957388171, 230.10700986703392]","[93.65069194156385, 219.4244426973362]"
53,img_248.png,"[0.08145063894666893, -0.09229022969775973, 1.5346021046591254]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -2.7272727272727275, 0.4]","[-1.613523811011078, -2.698367340690598, 0.4126892093379014]","[0.08145063894666893, -0.09229022969775973, 1.5346021046591254]","[260.3696228098166, 118.15180845956574]","[236.54399072349614, 119.8447590203301]","[263.7319217340228, 142.06141361277437]","[239.6014249189309, 143.90389260959026]","[250.0824186639658, 130.90770531178697]"
54,img_249.png,"[0.0681821712741487, -0.22853013277006226, 0.6736731125236861]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -2.7272727272727275, 0.8]","[-1.5938895316914607, -2.7109860085322093, 0.8165137569829377]","[0.0681821712741487, -0.22853013277006226, 0.6736731125236861]","[107.55775646866127, 180.142246280338]","[86.41607926974079, 179.19858614603532]","[107.49521129909986, 202.7867810786251]","[85.63001072446959, 204.38943540524588]","[97.34809704439826, 191.43185097134085]"
55,img_257.png,"[-0.006248787341843071, -0.16630892642580938, 1.5489077601911723]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -2.272727272727273, 1.6]","[-1.614835774272639, -2.2448019213160744, 1.6148281327885503]","[-0.006248787341843071, -0.16630892642580938, 1.5489077601911723]","[298.1383277310022, 221.39836049304557]","[266.98793207207825, 221.33865067229337]","[302.3919775535993, 255.55321842969988]","[270.257934062193, 255.63476412733715]","[284.4469160333642, 238.21106347877915]"
56,img_259.png,"[-0.018997725214435972, 0.18250184363514987, 0.8793267706204501]","[0.0, 0.0, 0.0]","[-1.6153846153846154, -1.8181818181818183, 0.0]","[-1.5955614494551233, -1.7939373865169796, 0.004387439547252621]","[-0.018997725214435972, 0.18250184363514987, 0.8793267706204501]","[181.82920825323416, 36.37194531156311]","[158.4036791061358, 24.275018819388386]","[180.56230567367132, 69.03562576603187]","[157.81073493984437, 61.35984622332668]","[170.3198694956899, 48.345823626453964]"
